feature_name,category,data_source,observation_frequency,publication_lag,vintage_status,transformation_formula,description
nfp_surprise,MACRO_SURPRISE,BLS,Monthly,Published First Fri 08:30 ET,POTENTIAL_REVISION_BIAS,Actual - Consensus (k),Nonfarm Payrolls employment surprise.
nfp_zscore,MACRO_SURPRISE,BLS,Monthly,Published First Fri 08:30 ET,POTENTIAL_REVISION_BIAS,surprise / expanding_std(prior_surprises),Nonfarm Payrolls standardized surprise Z-score.
fomc_surprise,MACRO_SURPRISE,Federal Reserve,8 meetings/year,Published Wed 14:00 ET,EXACT_PIT,Actual - Consensus Rate,FOMC rate decision surprise.
ism_surprise,MACRO_SURPRISE,ISM,Monthly,Published 10:00 ET,EXACT_PIT,Actual - Consensus,ISM Manufacturing PMI surprise.
real_yield_regime,REGIME,FRED,Weekly,12 hours,EXACT_PIT,-1 if d_TIPS_4w <= Q33 else (+1 if >= Q67 else 0),"Real Yield Regime (-1 Falling, 0 Neutral, +1 Rising)."
dxy_regime,REGIME,ICE / Yahoo,Weekly,0 hours,EXACT_PIT,-1 if dxy_ret_4w <= Q33 else (+1 if >= Q67 else 0),"DXY Regime (-1 Weakening, 0 Neutral, +1 Strengthening)."
gold_trend_regime,REGIME,COMEX/LBMA,Weekly,0 hours,EXACT_PIT,gold_trend,"Gold Trend Regime (-1 Bearish, 0 Sideways, +1 Bullish)."
vix_regime,REGIME,Cboe / Yahoo,Weekly,0 hours,EXACT_PIT,-1 if vix_pct < 25 else (+1 if > 75 else 0),"VIX Volatility Regime (-1 Low, 0 Normal, +1 High)."
equity_regime,REGIME,S&P / Yahoo,Weekly,0 hours,EXACT_PIT,-1 if SPX_1w <= Q33 else (+1 if >= Q67 else 0),"Equity Market Regime (-1 Risk Off, 0 Neutral, +1 Risk On)."
positioning_regime,REGIME,CFTC,Weekly,72 hours,EXACT_PIT,Tiers from -2 (Extreme Short) to +2 (Extreme Long),CFTC COT Speculative Positioning Regime.
sp500_shock_z,CROSS_ASSET_SHOCK,S&P,Weekly,0 hours,EXACT_PIT,(SPX_ret_1w - exp_mean) / exp_std,Standardized expanding shock score for S&P 500.
dxy_shock_z,CROSS_ASSET_SHOCK,ICE,Weekly,0 hours,EXACT_PIT,(DXY_ret_1w - exp_mean) / exp_std,Standardized expanding shock score for US Dollar Index.
real_yield_shock_z,CROSS_ASSET_SHOCK,FRED,Weekly,12 hours,EXACT_PIT,(d_TIPS_1w - exp_mean) / exp_std,Standardized expanding shock score for 10Y TIPS yield.
vix_shock_z,CROSS_ASSET_SHOCK,Cboe,Weekly,0 hours,EXACT_PIT,(d_VIX_1w - exp_mean) / exp_std,Standardized expanding shock score for VIX.
cpi_surprise_x_real_yield_regime,INTERACTION,Engine,Weekly,0 hours,POTENTIAL_REVISION_BIAS,cpi_zscore * real_yield_regime,CPI surprise conditioned on Real Yield regime.
cpi_surprise_x_dxy_regime,INTERACTION,Engine,Weekly,0 hours,POTENTIAL_REVISION_BIAS,cpi_zscore * dxy_regime,CPI surprise conditioned on DXY regime.
cot_percentile_x_gold_trend,INTERACTION,Engine,Weekly,0 hours,EXACT_PIT,(cot_pct / 100) * gold_trend,COT Positioning conditioned on Gold Trend.
vix_shock_x_sp500_return,INTERACTION,Engine,Weekly,0 hours,EXACT_PIT,vix_shock_z * sp500_return_1w,VIX Panic shock interaction with equity selloff.
dxy_shock_x_real_yield_change,INTERACTION,Engine,Weekly,0 hours,EXACT_PIT,dxy_shock_z * delta_real_yield_1w,DXY currency shock interaction with Real Yield move.
